key,occurrenceStatus,scientificName,species,dateIdentified,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,month,day,eventDate,issues,modified,individualCount,identificationRemarks
4014871079,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2023-01-06T19:36:46,-3.015385,53.653147,2.0,2023,1,6,2023-01-06T11:29:00,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2023-01-07T13:51:20.000+00:00,,
4029261512,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2023-02-06T19:25:14,-6.112364,53.288512,23.0,2023,2,6,2023-02-06T16:02:55,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2023-02-07T06:19:08.000+00:00,,
4039278498,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2023-02-16T15:47:15,-5.729261,54.671819,,2023,2,16,2023-02-16T12:14:54,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2023-02-16T17:57:08.000+00:00,,
3456521601,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-01-11T14:40:27,-5.738825,54.675267,,2022,1,11,2022-01-11T12:04:07,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2022-01-11T15:36:27.000+00:00,,
3468712021,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-02-08T20:11:26,-5.738846,54.675184,,2022,2,8,2022-02-08T10:03:43,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2022-02-08T22:14:02.000+00:00,,
3859882956,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-03-25T20:47:53,-6.059755,53.147186,20.0,2022,3,25,2022-03-25T13:24:48,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2022-09-21T14:29:51.000+00:00,,
3859372961,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-03-29T19:36:12,-6.059797,53.147281,22.0,2022,3,29,2022-03-29T13:24:39,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2022-09-21T14:25:17.000+00:00,,
3759411324,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-04-09T05:56:47,-4.09106,53.26207,,2022,4,8,2022-04-08T13:43:23,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2022-04-09T09:36:24.000+00:00,,
3759721142,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-04-16T21:05:13,-6.224713,54.099533,,2022,4,16,2022-04-16T16:48:56,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2022-04-16T21:32:11.000+00:00,,
3764148689,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-04-23T19:11:05,-5.618845,54.676785,,2022,4,23,2022-04-23T11:50:00,['CONTINENT_DERIVED_FROM_COORDINATES'],2022-04-23T19:21:25.000+00:00,,
3784762448,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-04-23T20:21:49,-5.618345,54.676893,,2022,4,23,2022-04-23T11:07:00,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2022-05-23T15:14:45.000+00:00,,
3784995436,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-05-02T16:33:14,-5.732856,54.672473,,2022,4,29,2022-04-29T17:22:19,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2022-05-21T07:38:56.000+00:00,,
3802439504,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-05-27T16:16:14,-5.439138,54.454128,4.0,2022,5,14,2022-05-14T16:32:52,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2022-05-27T16:22:33.000+00:00,,
3802334499,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-05-27T16:17:51,-5.622925,54.55882,4.0,2022,5,15,2022-05-15T16:24:35,['CONTINENT_DERIVED_FROM_COORDINATES'],2022-05-27T16:19:32.000+00:00,,Egg sacs of Atlantic dogwhelks - very cool!
3802353022,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-05-22T18:41:50,-5.959113,54.972388,,2022,5,22,2022-05-22T10:36:00,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2022-05-23T12:13:35.000+00:00,,
3802560109,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-05-22T19:24:08,-4.608447,53.422198,488.0,2022,5,19,2022-05-19T19:21:00,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2022-05-22T19:46:53.000+00:00,,
3859082463,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-05-28T14:29:07,-4.65095,53.287542,201.0,2022,5,28,2022-05-28T12:54:09,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2022-07-05T20:31:20.000+00:00,,
3860415212,PRESENT,"Nucella lapillus (Linnaeus, 1758)",Nucella lapillus,2022-06-03T10:33:34,-5.533156,54.622103,,2022,5,23,2022-05-23T15:51:17,"['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES']",2022-06-03T13:59:39.000+00:00,,
