"","Year","Survey","Quarter","Country","Ship","Gear","StNo","SpecLatin","ShootLong","ShootLat","CPUE_number_per_hour"
"1",2012,"IE-IGFS",4,"IE","45CE","GOV","FG25","Galeorhinus galeus",-6.261,52.005,22
"2",2012,"NIGFS",1,"GB-NIR","74RY","ROT","111","Galeorhinus galeus",-5.817,52.7183,31.4285714285714
"3",2012,"NIGFS",4,"GB-NIR","74RY","ROT","102","Galeorhinus galeus",-4.6551,53.7475,6
"4",2012,"NIGFS",4,"GB-NIR","74RY","ROT","108","Galeorhinus galeus",-5.2283,53.2011,3
"5",2012,"NIGFS",4,"GB-NIR","74RY","ROT","112","Galeorhinus galeus",-6.0355,52.5705,3
"6",2012,"NIGFS",4,"GB-NIR","74RY","ROT","113","Galeorhinus galeus",-5.8758,52.3525,9
"7",2012,"NIGFS",4,"GB-NIR","74RY","ROT","114","Galeorhinus galeus",-5.7758,52.5993,8.57142857142857
"8",2012,"NIGFS",4,"GB-NIR","74RY","ROT","117","Galeorhinus galeus",-4.516,52.7138,3
"9",2012,"NIGFS",4,"GB-NIR","74RY","ROT","97","Galeorhinus galeus",-4.9186,54.3301,9
"10",2013,"IE-IGFS",4,"IE","45CE","GOV","FG25","Galeorhinus galeus",-6.212,52.016,6
"11",2013,"IE-IGFS",4,"IE","45CE","GOV","SJM1","Galeorhinus galeus",-6.808,52.001,6
"12",2013,"NIGFS",1,"GB-NIR","74RY","ROT","115","Galeorhinus galeus",-4.9383,52.3265,3
"13",2013,"NIGFS",4,"GB-NIR","74RY","ROT","105","Galeorhinus galeus",-5.0568,53.705,2.72727272727273
"14",2013,"NIGFS",4,"GB-NIR","74RY","ROT","108","Galeorhinus galeus",-5.2273,53.2155,6
"15",2013,"NIGFS",4,"GB-NIR","74RY","ROT","113","Galeorhinus galeus",-5.8733,52.3615,3
"16",2013,"NIGFS",4,"GB-NIR","74RY","ROT","114","Galeorhinus galeus",-5.7811,52.5861,12
"17",2013,"NIGFS",4,"GB-NIR","74RY","ROT","117","Galeorhinus galeus",-4.5058,52.7171,3
"18",2013,"NIGFS",4,"GB-NIR","74RY","ROT","120","Galeorhinus galeus",-5.7676,52.8506,3
"19",2013,"NIGFS",4,"GB-NIR","74RY","ROT","258","Galeorhinus galeus",-3.9226,54.3316,6
"20",2013,"NIGFS",4,"GB-NIR","74RY","ROT","345","Galeorhinus galeus",-3.5916,54.158,18
"21",2014,"IE-IGFS",4,"IE","45CE","GOV","FG25","Galeorhinus galeus",-6.258,52.006,2
"22",2014,"NIGFS",4,"GB-NIR","74RY","ROT","243","Galeorhinus galeus",-4.1475,53.8018,15
"23",2014,"NIGFS",4,"GB-NIR","74RY","ROT","245","Galeorhinus galeus",-4.213,53.507,3
"24",2015,"NIGFS",1,"GB-NIR","74RY","ROT","114","Galeorhinus galeus",-5.7756,52.5946,6
"25",2015,"NIGFS",4,"GB-NIR","74RY","ROT","109","Galeorhinus galeus",-5.3185,52.9913,3.33333333333333
"26",2015,"NIGFS",4,"GB-NIR","74RY","ROT","114","Galeorhinus galeus",-5.7762,52.5977,6.66666666666667
"27",2015,"NIGFS",4,"GB-NIR","74RY","ROT","345","Galeorhinus galeus",-3.5888,54.1566,3.33333333333333
"28",2015,"NIGFS",4,"GB-NIR","74RY","ROT","76","Galeorhinus galeus",-4.4165,54.0085,6.66666666666667
"29",2015,"NIGFS",4,"GB-NIR","74RY","ROT","96","Galeorhinus galeus",-5.129,53.836,3.33333333333333
"30",2016,"IE-IGFS",4,"IE","45CE","GOV","33A","Galeorhinus galeus",-6.755,52.007,6
"31",2016,"IE-IGFS",4,"IE","45CE","GOV","FG25","Galeorhinus galeus",-6.213,52.016,8
"32",2016,"NIGFS",4,"GB-NIR","74RY","ROT","102","Galeorhinus galeus",-4.6693,53.7699,6.66666666666667
"33",2016,"NIGFS",4,"GB-NIR","74RY","ROT","105","Galeorhinus galeus",-5.0579,53.7029,3.33333333333333
"34",2016,"NIGFS",4,"GB-NIR","74RY","ROT","106","Galeorhinus galeus",-5.8597,53.1914,3.33333333333333
"35",2016,"NIGFS",4,"GB-NIR","74RY","ROT","109","Galeorhinus galeus",-5.3243,52.9733,3.33333333333333
"36",2016,"NIGFS",4,"GB-NIR","74RY","ROT","115","Galeorhinus galeus",-4.9233,52.3426,3.33333333333333
"37",2016,"NIGFS",4,"GB-NIR","74RY","ROT","117","Galeorhinus galeus",-4.5036,52.7166,3.33333333333333
"38",2016,"NIGFS",4,"GB-NIR","74RY","ROT","249","Galeorhinus galeus",-3.7354,53.7891,3.33333333333333
"39",2016,"NIGFS",4,"GB-NIR","74RY","ROT","50","Galeorhinus galeus",-5.3487,53.7558,3.33333333333333
"40",2016,"NIGFS",4,"GB-NIR","74RY","ROT","51","Galeorhinus galeus",-5.0149,53.8845,3.33333333333333
"41",2016,"NIGFS",4,"GB-NIR","74RY","ROT","76","Galeorhinus galeus",-4.4772,53.9915,3.33333333333333
"42",2016,"NIGFS",4,"GB-NIR","74RY","ROT","99","Galeorhinus galeus",-5.0431,54.1074,3.33333333333333
"43",2017,"IE-IGFS",4,"IE","45CE","GOV","FG25","Galeorhinus galeus",-6.209,52.016,4
"44",2017,"NIGFS",1,"GB-NIR","74RY","ROT","216","Galeorhinus galeus",-5.2017,53.9439,1
"45",2017,"NIGFS",4,"GB-NIR","74RY","ROT","106","Galeorhinus galeus",-5.8607,53.1989,3
"46",2017,"NIGFS",4,"GB-NIR","74RY","ROT","113","Galeorhinus galeus",-5.8696,52.3803,3
"47",2017,"NIGFS",4,"GB-NIR","74RY","ROT","114","Galeorhinus galeus",-5.776,52.6007,2.60869565217391
"48",2017,"NIGFS",4,"GB-NIR","74RY","ROT","119","Galeorhinus galeus",-6.1045,52.6123,3
"49",2017,"NIGFS",4,"GB-NIR","74RY","ROT","216","Galeorhinus galeus",-5.2065,53.9328,3
"50",2017,"NIGFS",4,"GB-NIR","74RY","ROT","242","Galeorhinus galeus",-4.0196,54.0938,2.72727272727273
"51",2017,"NIGFS",4,"GB-NIR","74RY","ROT","243","Galeorhinus galeus",-4.1254,53.7939,12
"52",2017,"NIGFS",4,"GB-NIR","74RY","ROT","256","Galeorhinus galeus",-3.9249,54.6343,3
"53",2017,"NIGFS",4,"GB-NIR","74RY","ROT","48","Galeorhinus galeus",-4.9868,54.0011,3
"54",2017,"NIGFS",4,"GB-NIR","74RY","ROT","77","Galeorhinus galeus",-4.729,53.816,5.71428571428571
"55",2017,"NIGFS",4,"GB-NIR","74RY","ROT","92","Galeorhinus galeus",-5.885,53.574,3
"56",2018,"IE-IGFS",4,"IE","45CE","GOV","FG25","Galeorhinus galeus",-6.212,52.016,4
"57",2018,"NIGFS",4,"GB-NIR","74RY","ROT","105","Galeorhinus galeus",-5.0605,53.7024,3.33333333333333
"58",2018,"NIGFS",4,"GB-NIR","74RY","ROT","112","Galeorhinus galeus",-6.0409,52.5579,5
"59",2018,"NIGFS",4,"GB-NIR","74RY","ROT","113","Galeorhinus galeus",-5.8734,52.3619,10
"60",2018,"NIGFS",4,"GB-NIR","74RY","ROT","114","Galeorhinus galeus",-5.7796,52.583,6.66666666666667
"61",2018,"NIGFS",4,"GB-NIR","74RY","ROT","115","Galeorhinus galeus",-4.9221,52.3428,3.33333333333333
