longitude,latitude,deltaT(C),deltaRHO(kg/m3)
-8.087500,50.962500,0.000455,0.001371
-8.087500,50.987500,0.000511,0.001516
-8.087500,51.012500,0.000352,0.001545
-8.087500,51.037500,-0.000115,0.001550
-8.087500,51.062500,-0.000691,0.001565
-8.087500,51.087500,-0.001165,0.001735
-8.087500,51.112500,-0.001990,0.001756
-8.087500,51.137500,-0.003374,0.001831
-8.087500,51.162500,-0.004512,0.001845
-8.087500,51.187500,-0.004897,0.001798
-8.087500,51.212500,-0.004808,0.001775
-8.087500,51.237500,-0.004619,0.001466
-8.087500,51.262500,-0.004527,0.001407
-8.087500,51.287500,-0.004840,0.001663
-8.087500,51.312500,-0.006467,0.002090
-8.087500,51.337500,-0.012406,0.003143
-8.087500,51.362500,-0.027408,0.005647
-8.087500,51.387500,-0.032878,0.006700
-8.087500,51.412500,-0.035268,0.006325
-8.087500,51.437500,-0.039168,0.006794
-8.087500,51.462500,-0.027897,0.004948
-8.087500,51.487500,-0.022948,0.005118
-8.087500,51.512500,-0.045657,0.008861
-8.087500,51.537500,-0.066495,0.011030
-8.087500,51.562500,-0.083940,0.014462
-8.087500,51.587500,-0.099786,0.020063
-8.087500,51.612500,-0.115562,0.026933
-8.087500,51.637500,-0.125747,0.030984
-8.087500,51.662500,-0.129672,0.028754
-8.087500,51.687500,-0.112521,0.038598
-8.087500,51.712500,-0.132601,0.085779
-8.087500,51.737500,-0.131092,0.101635
-8.087500,51.762500,-0.132721,0.142674
-8.087500,51.787500,-0.130622,0.189284
-8.087500,51.812500,-9999.000000,-9999.000000
-8.087500,51.837500,-9999.000000,-9999.000000
-8.087500,51.862500,-9999.000000,-9999.000000
-8.087500,51.887500,-9999.000000,-9999.000000
-8.087500,51.912500,-9999.000000,-9999.000000
-8.087500,51.937500,-9999.000000,-9999.000000
-8.087500,51.962500,-9999.000000,-9999.000000
-8.087500,51.987500,-9999.000000,-9999.000000
-8.087500,52.012500,-9999.000000,-9999.000000
-8.087500,52.037500,-9999.000000,-9999.000000
-8.087500,52.062500,-9999.000000,-9999.000000
-8.087500,52.087500,-9999.000000,-9999.000000
-8.087500,52.112500,-9999.000000,-9999.000000
-8.087500,52.137500,-9999.000000,-9999.000000
-8.087500,52.162500,-9999.000000,-9999.000000
-8.087500,52.187500,-9999.000000,-9999.000000
-8.087500,52.212500,-9999.000000,-9999.000000
-8.087500,52.237500,-9999.000000,-9999.000000
-8.087500,52.262500,-9999.000000,-9999.000000
-8.087500,52.287500,-9999.000000,-9999.000000
-8.087500,52.312500,-9999.000000,-9999.000000
-8.087500,52.337500,-9999.000000,-9999.000000
-8.087500,52.362500,-9999.000000,-9999.000000
-8.087500,52.387500,-9999.000000,-9999.000000
-8.087500,52.412500,-9999.000000,-9999.000000
-8.087500,52.437500,-9999.000000,-9999.000000
-8.087500,52.462500,-9999.000000,-9999.000000
-8.087500,52.487500,-9999.000000,-9999.000000
-8.087500,52.512500,-9999.000000,-9999.000000
-8.087500,52.537500,-9999.000000,-9999.000000
-8.087500,52.562500,-9999.000000,-9999.000000
-8.087500,52.587500,-9999.000000,-9999.000000
-8.087500,52.612500,-9999.000000,-9999.000000
-8.087500,52.637500,-9999.000000,-9999.000000
-8.087500,52.662500,-9999.000000,-9999.000000
-8.087500,52.687500,-9999.000000,-9999.000000
-8.087500,52.712500,-9999.000000,-9999.000000
-8.087500,52.737500,-9999.000000,-9999.000000
-8.087500,52.762500,-9999.000000,-9999.000000
-8.087500,52.787500,-9999.000000,-9999.000000
-8.087500,52.812500,-9999.000000,-9999.000000
-8.087500,52.837500,-9999.000000,-9999.000000
-8.087500,52.862500,-9999.000000,-9999.000000
-8.087500,52.887500,-9999.000000,-9999.000000
-8.087500,52.912500,-9999.000000,-9999.000000
