longitude,latitude,deltaT(C),deltaRHO(kg/m3)
-8.087500,50.962500,0.153797,0.023734
-8.087500,50.987500,0.156164,0.023992
-8.087500,51.012500,0.159890,0.024358
-8.087500,51.037500,0.165628,0.024903
-8.087500,51.062500,0.176975,0.026070
-8.087500,51.087500,0.189873,0.027420
-8.087500,51.112500,0.199126,0.028222
-8.087500,51.137500,0.206575,0.028434
-8.087500,51.162500,0.204771,0.028123
-8.087500,51.187500,0.195936,0.028038
-8.087500,51.212500,0.189569,0.028178
-8.087500,51.237500,0.191508,0.028233
-8.087500,51.262500,0.194482,0.028048
-8.087500,51.287500,0.198076,0.028269
-8.087500,51.312500,0.202519,0.029452
-8.087500,51.337500,0.208719,0.030848
-8.087500,51.362500,0.209420,0.030582
-8.087500,51.387500,0.203961,0.029068
-8.087500,51.412500,0.198131,0.027014
-8.087500,51.437500,0.195774,0.025498
-8.087500,51.462500,0.200132,0.026828
-8.087500,51.487500,0.204782,0.031813
-8.087500,51.512500,0.217709,0.039396
-8.087500,51.537500,0.224638,0.051785
-8.087500,51.562500,0.221937,0.067167
-8.087500,51.587500,0.208770,0.083163
-8.087500,51.612500,0.205384,0.099623
-8.087500,51.637500,0.260235,0.110282
-8.087500,51.662500,0.259889,0.126230
-8.087500,51.687500,0.209326,0.205315
-8.087500,51.712500,0.145168,0.324135
-8.087500,51.737500,0.066597,0.451126
-8.087500,51.762500,-0.108912,0.987839
-8.087500,51.787500,-0.214758,1.723657
-8.087500,51.812500,-9999.000000,-9999.000000
-8.087500,51.837500,-9999.000000,-9999.000000
-8.087500,51.862500,-9999.000000,-9999.000000
-8.087500,51.887500,-9999.000000,-9999.000000
-8.087500,51.912500,-9999.000000,-9999.000000
-8.087500,51.937500,-9999.000000,-9999.000000
-8.087500,51.962500,-9999.000000,-9999.000000
-8.087500,51.987500,-9999.000000,-9999.000000
-8.087500,52.012500,-9999.000000,-9999.000000
-8.087500,52.037500,-9999.000000,-9999.000000
-8.087500,52.062500,-9999.000000,-9999.000000
-8.087500,52.087500,-9999.000000,-9999.000000
-8.087500,52.112500,-9999.000000,-9999.000000
-8.087500,52.137500,-9999.000000,-9999.000000
-8.087500,52.162500,-9999.000000,-9999.000000
-8.087500,52.187500,-9999.000000,-9999.000000
-8.087500,52.212500,-9999.000000,-9999.000000
-8.087500,52.237500,-9999.000000,-9999.000000
-8.087500,52.262500,-9999.000000,-9999.000000
-8.087500,52.287500,-9999.000000,-9999.000000
-8.087500,52.312500,-9999.000000,-9999.000000
-8.087500,52.337500,-9999.000000,-9999.000000
-8.087500,52.362500,-9999.000000,-9999.000000
-8.087500,52.387500,-9999.000000,-9999.000000
-8.087500,52.412500,-9999.000000,-9999.000000
-8.087500,52.437500,-9999.000000,-9999.000000
-8.087500,52.462500,-9999.000000,-9999.000000
-8.087500,52.487500,-9999.000000,-9999.000000
-8.087500,52.512500,-9999.000000,-9999.000000
-8.087500,52.537500,-9999.000000,-9999.000000
-8.087500,52.562500,-9999.000000,-9999.000000
-8.087500,52.587500,-9999.000000,-9999.000000
-8.087500,52.612500,-9999.000000,-9999.000000
-8.087500,52.637500,-9999.000000,-9999.000000
-8.087500,52.662500,-9999.000000,-9999.000000
-8.087500,52.687500,-9999.000000,-9999.000000
-8.087500,52.712500,-9999.000000,-9999.000000
-8.087500,52.737500,-9999.000000,-9999.000000
-8.087500,52.762500,-9999.000000,-9999.000000
-8.087500,52.787500,-9999.000000,-9999.000000
-8.087500,52.812500,-9999.000000,-9999.000000
-8.087500,52.837500,-9999.000000,-9999.000000
-8.087500,52.862500,-9999.000000,-9999.000000
-8.087500,52.887500,-9999.000000,-9999.000000
-8.087500,52.912500,-9999.000000,-9999.000000
-8.087500,52.937500,-9999.000000,-9999.000000
-8.087500,52.962500,-9999.000000,-9999.000000
-8.087500,52.987500,-9999.000000,-9999.000000
-8.087500,53.012500,-9999.000000,-9999.000000
-8.087500,53.037500,-9999.000000,-9999.000000
-8.087500,53.062500,-9999.000000,-9999.000000
-8.087500,53.087500,-9999.000000,-9999.000000
-8.087500,53.112500,-9999.000000,-9999.000000
-8.087500,53.137500,-9999.000000,-9999.000000
-8.087500,53.162500,-9999.000000,-9999.000000
-8.087500,53.187500,-9999.000000,-9999.000000
