"feature_list","targets"
Anguilla_anguilla_p_a_IEMP_IFI.tif,0.19
Artica_Islandica_2017_2022_MI_OllieTully.tif,0.19
Blonde_ray_juveniles_dedman.tif_Presence.tif,0.19
Blonde_SUMMED.tif,0.19
Carbon_all_surveys_merged.tif,0.19
Cetorhinus_maximusOBSERVE_IWDG_comb_PA_1km.tif,0.19
Circalittoral_coarse_sediment_1km.tif,0.19
circalittoral_mixed_sediment_1km.tif,0.19
Circalittoral_mud_1km.tif,0.19
Circalittoral_sand_1km.tif,0.19
cuckoo_ray_juveniles_dedman.tif_Presence.tif,0.19
Cuckoo_SUMMED.tif,0.19
DATRAS_kriged_above_av_Am_plaice.tif,0.19
DATRAS_kriged_above_av_forage.tif,0.19
Fronts_temp_1km.tif,0.51
herring_spawning_areas_1km.tif,0.19
Infralittoral_coarse_sediment_1km.tif,0.19
Infralittoral_mixed_sediment_1km.tif,0.19
Infralittoral_mud_1km.tif,0.19
Infralittoral_sand_1km.tif,0.19
Offshore_circalittoral_coarse_sediment_1km.tif,0.19
Offshore_circalittoral_mixed_sediment_1km.tif,0.19
Offshore_circalittoral_mud_1km.tif,0.19
Offshore_circalittoral_rock_and_biogenic_reef_1km.tif,0.19
Offshore_circalittoral_sand_1km.tif,0.19
Sabellaria_spinulosa_count_MI_PA_1km.tif,0.19
Seapens_and_burrowing_megafauna_communities_OSPAR.tif,0.19
seedmusselbeds_30y.tif,0.19
spotted_ray_juveniles_dedman.tif_Presence.tif,0.19
Spotted_SUMMED.tif,0.19
Thornback_SUMMED.tif,0.19
Turbot_SUMMED.tif,0.19
WitchFlounder_SUMMED.tif,0.19
