"feature_list","targets"
Carbon_all_surveys_merged.tif,0.28
Circalittoral_coarse_sediment_1km.tif,0.28
circalittoral_mixed_sediment_1km.tif,0.28
Circalittoral_mud_1km.tif,0.28
Circalittoral_sand_1km.tif,0.28
DATRAS_kriged_above_av_forage.tif,0.28
Fronts_temp_1km.tif,0.6
herring_spawning_areas_1km.tif,0.28
Infralittoral_coarse_sediment_1km.tif,0.28
Infralittoral_mixed_sediment_1km.tif,0.28
Infralittoral_mud_1km.tif,0.28
Infralittoral_sand_1km.tif,0.28
Offshore_circalittoral_coarse_sediment_1km.tif,0.28
Offshore_circalittoral_mixed_sediment_1km.tif,0.28
Offshore_circalittoral_mud_1km.tif,0.28
Offshore_circalittoral_rock_and_biogenic_reef_1km.tif,0.28
Offshore_circalittoral_sand_1km.tif,0.28
