"feature_list","targets"
Anguilla_anguilla_p_a_IEMP_IFI.tif,0.28
Artica_Islandica_2017_2022_MI_OllieTully.tif,0.28
Blonde_ray_juveniles_dedman.tif_Presence.tif,0.28
Blonde_SUMMED.tif,0.28
Carbon_all_surveys_merged.tif,0.28
Cetorhinus_maximusOBSERVE_IWDG_comb_PA_1km.tif,0.28
Circalittoral_coarse_sediment_1km.tif,0.28
circalittoral_mixed_sediment_1km.tif,0.28
Circalittoral_mud_1km.tif,0.28
Circalittoral_sand_1km.tif,0.28
cuckoo_ray_juveniles_dedman.tif_Presence.tif,0.6
Cuckoo_SUMMED.tif,0.6
DATRAS_kriged_above_av_Am_plaice.tif,0.28
DATRAS_kriged_above_av_forage.tif,0.28
Fronts_temp_1km.tif,0.6
herring_spawning_areas_1km.tif,0.6
Infralittoral_coarse_sediment_1km.tif,0.28
Infralittoral_mixed_sediment_1km.tif,0.28
Infralittoral_mud_1km.tif,0.28
Infralittoral_sand_1km.tif,0.28
Offshore_circalittoral_coarse_sediment_1km.tif,0.28
Offshore_circalittoral_mixed_sediment_1km.tif,0.28
Offshore_circalittoral_mud_1km.tif,0.28
Offshore_circalittoral_rock_and_biogenic_reef_1km.tif,0.28
Offshore_circalittoral_sand_1km.tif,0.28
Sabellaria_spinulosa_count_MI_PA_1km.tif,0.28
Seapens_and_burrowing_megafauna_communities_OSPAR.tif,0.28
seedmusselbeds_30y.tif,0.28
spotted_ray_juveniles_dedman.tif_Presence.tif,0.28
Spotted_SUMMED.tif,0.28
Thornback_SUMMED.tif,0.28
Turbot_SUMMED.tif,0.6
WitchFlounder_SUMMED.tif,0.6
