"","Year","Survey","Quarter","Country","Ship","Gear","StNo","SpecLatin","ShootLong","ShootLat","CPUE_number_per_hour"
"1",2012,"IE-IGFS",4,"IE","45CE","GOV","FG25","Raja brachyura",-6.261,52.005,2
"2",2012,"NIGFS",1,"GB-NIR","74RY","ROT","102","Raja brachyura",-4.6515,53.7393,2
"3",2012,"NIGFS",1,"GB-NIR","74RY","ROT","108","Raja brachyura",-5.2268,53.2138,3
"4",2012,"NIGFS",1,"GB-NIR","74RY","ROT","109","Raja brachyura",-5.3223,52.9751,15.6521739130435
"5",2012,"NIGFS",1,"GB-NIR","74RY","ROT","117","Raja brachyura",-4.4871,52.7225,3
"6",2012,"NIGFS",1,"GB-NIR","74RY","ROT","247","Raja brachyura",-3.5961,53.647,1
"7",2012,"NIGFS",4,"GB-NIR","74RY","ROT","102","Raja brachyura",-4.6551,53.7475,39
"8",2012,"NIGFS",4,"GB-NIR","74RY","ROT","107","Raja brachyura",-5.5526,53.247,10.4347826086957
"9",2012,"NIGFS",4,"GB-NIR","74RY","ROT","109","Raja brachyura",-5.3218,52.9798,12
"10",2012,"NIGFS",4,"GB-NIR","74RY","ROT","111","Raja brachyura",-5.8133,52.7263,6
"11",2012,"NIGFS",4,"GB-NIR","74RY","ROT","120","Raja brachyura",-5.7658,52.8565,5.21739130434783
"12",2012,"NIGFS",4,"GB-NIR","74RY","ROT","77","Raja brachyura",-4.704,53.829,3
"13",2013,"IE-IGFS",4,"IE","45CE","GOV","FG25","Raja brachyura",-6.212,52.016,4
"14",2013,"NIGFS",1,"GB-NIR","74RY","ROT","102","Raja brachyura",-4.6805,53.781,13
"15",2013,"NIGFS",1,"GB-NIR","74RY","ROT","109","Raja brachyura",-5.32,52.9891,27
"16",2013,"NIGFS",1,"GB-NIR","74RY","ROT","116","Raja brachyura",-4.288,52.2981,3
"17",2013,"NIGFS",1,"GB-NIR","74RY","ROT","242","Raja brachyura",-4.0265,54.0703,3
"18",2013,"NIGFS",4,"GB-NIR","74RY","ROT","102","Raja brachyura",-4.6601,53.7506,42
"19",2013,"NIGFS",4,"GB-NIR","74RY","ROT","108","Raja brachyura",-5.2273,53.2155,15
"20",2013,"NIGFS",4,"GB-NIR","74RY","ROT","109","Raja brachyura",-5.3231,52.978,24
"21",2013,"NIGFS",4,"GB-NIR","74RY","ROT","115","Raja brachyura",-4.9185,52.3443,3
"22",2013,"NIGFS",4,"GB-NIR","74RY","ROT","120","Raja brachyura",-5.7676,52.8506,9
"23",2013,"NIGFS",4,"GB-NIR","74RY","ROT","242","Raja brachyura",-4.0408,54.1075,3
"24",2013,"NIGFS",4,"GB-NIR","74RY","ROT","246","Raja brachyura",-3.7863,53.4766,6
"25",2013,"NIGFS",4,"GB-NIR","74RY","ROT","247","Raja brachyura",-3.608,53.6375,3
"26",2013,"NIGFS",4,"GB-NIR","74RY","ROT","249","Raja brachyura",-3.716,53.7811,3
"27",2013,"NIGFS",4,"GB-NIR","74RY","ROT","86","Raja brachyura",-5.4366,54.5978,6
"28",2013,"NIGFS",4,"GB-NIR","74RY","ROT","99","Raja brachyura",-5.0563,54.0936,3
"29",2014,"IE-IGFS",4,"IE","45CE","GOV","FG25","Raja brachyura",-6.258,52.006,8
"30",2014,"NIGFS",1,"GB-NIR","74RY","ROT","102","Raja brachyura",-4.6523,53.7396,3
"31",2014,"NIGFS",1,"GB-NIR","74RY","ROT","105","Raja brachyura",-5.0446,53.7125,2
"32",2014,"NIGFS",1,"GB-NIR","74RY","ROT","113","Raja brachyura",-5.876,52.3503,3
"33",2014,"NIGFS",1,"GB-NIR","74RY","ROT","120","Raja brachyura",-5.7656,52.8593,15
"34",2014,"NIGFS",1,"GB-NIR","74RY","ROT","242","Raja brachyura",-4.0483,54.1195,1
"35",2014,"NIGFS",1,"GB-NIR","74RY","ROT","243","Raja brachyura",-4.1205,53.788,3
"36",2014,"NIGFS",4,"GB-NIR","74RY","ROT","102","Raja brachyura",-4.6761,53.769,18
"37",2014,"NIGFS",4,"GB-NIR","74RY","ROT","106","Raja brachyura",-5.8611,53.2111,3
"38",2014,"NIGFS",4,"GB-NIR","74RY","ROT","107","Raja brachyura",-5.553,53.2503,15
"39",2014,"NIGFS",4,"GB-NIR","74RY","ROT","109","Raja brachyura",-5.3183,52.9901,6
"40",2014,"NIGFS",4,"GB-NIR","74RY","ROT","112","Raja brachyura",-6.0401,52.5563,3
"41",2014,"NIGFS",4,"GB-NIR","74RY","ROT","120","Raja brachyura",-5.7695,52.8456,18
"42",2014,"NIGFS",4,"GB-NIR","74RY","ROT","242","Raja brachyura",-4.045,54.117,6
