"","Year","Survey","Quarter","Country","Ship","Gear","StNo","SpecLatin","ShootLong","ShootLat","CPUE_number_per_hour"
"1",2012,"NIGFS",1,"GB-NIR","74RY","ROT","101","Glyptocephalus cynoglossus",-5.3143,54.0838,2
"2",2012,"NIGFS",1,"GB-NIR","74RY","ROT","17","Glyptocephalus cynoglossus",-5.4961,54.1388,1
"3",2012,"NIGFS",1,"GB-NIR","74RY","ROT","216","Glyptocephalus cynoglossus",-5.1996,53.9428,1
"4",2012,"NIGFS",1,"GB-NIR","74RY","ROT","343","Glyptocephalus cynoglossus",-3.6803,54.1176,1
"5",2012,"NIGFS",1,"GB-NIR","74RY","ROT","81","Glyptocephalus cynoglossus",-5.3881,54.2483,2
"6",2012,"NIGFS",1,"GB-NIR","74RY","ROT","88","Glyptocephalus cynoglossus",-5.6878,53.992,1
"7",2012,"NIGFS",1,"GB-NIR","74RY","ROT","92","Glyptocephalus cynoglossus",-5.8795,53.574,1.01694915254237
"8",2012,"NIGFS",1,"GB-NIR","74RY","ROT","93","Glyptocephalus cynoglossus",-5.8188,53.4848,1
"9",2012,"NIGFS",1,"GB-NIR","74RY","ROT","97","Glyptocephalus cynoglossus",-4.8933,54.2921,1
"10",2012,"NIGFS",1,"GB-NIR","74RY","ROT","99","Glyptocephalus cynoglossus",-5.0215,54.1235,1
"11",2012,"NIGFS",4,"GB-NIR","74RY","ROT","117","Glyptocephalus cynoglossus",-4.516,52.7138,3
"12",2012,"NIGFS",4,"GB-NIR","74RY","ROT","50","Glyptocephalus cynoglossus",-5.3463,53.755,3
"13",2012,"NIGFS",4,"GB-NIR","74RY","ROT","51","Glyptocephalus cynoglossus",-5.0135,53.8828,3
"14",2012,"NIGFS",4,"GB-NIR","74RY","ROT","86","Glyptocephalus cynoglossus",-5.4446,54.6076,3
"15",2012,"NIGFS",4,"GB-NIR","74RY","ROT","88","Glyptocephalus cynoglossus",-5.7015,53.9521,3
"16",2012,"NIGFS",4,"GB-NIR","74RY","ROT","99","Glyptocephalus cynoglossus",-5.06,54.0913,3
"17",2013,"NIGFS",1,"GB-NIR","74RY","ROT","101","Glyptocephalus cynoglossus",-5.311,54.0893,16
"18",2013,"NIGFS",1,"GB-NIR","74RY","ROT","17","Glyptocephalus cynoglossus",-5.4998,54.1393,2
"19",2013,"NIGFS",1,"GB-NIR","74RY","ROT","208","Glyptocephalus cynoglossus",-5.7665,53.834,1
"20",2013,"NIGFS",1,"GB-NIR","74RY","ROT","258","Glyptocephalus cynoglossus",-3.9458,54.3473,1
"21",2013,"NIGFS",1,"GB-NIR","74RY","ROT","46","Glyptocephalus cynoglossus",-4.9836,54.1715,1
