"","Year","Survey","Quarter","Country","Ship","Gear","StNo","SpecLatin","ShootLong","ShootLat","CPUE_number_per_hour"
"1",2012,"NIGFS",1,"GB-NIR","74RY","ROT","107","Ammodytes",-5.5535,53.2573,9.6
"2",2012,"NIGFS",1,"GB-NIR","74RY","ROT","108","Ammodytes",-5.2268,53.2138,15
"3",2012,"NIGFS",1,"GB-NIR","74RY","ROT","109","Ammodytes",-5.3223,52.9751,10.4347826086957
"4",2012,"NIGFS",1,"GB-NIR","74RY","ROT","112","Ammodytes",-6.0395,52.56,5.71428571428571
"5",2012,"NIGFS",1,"GB-NIR","74RY","ROT","113","Ammodytes",-5.8755,52.3551,33.9130434782609
"6",2012,"NIGFS",1,"GB-NIR","74RY","ROT","115","Ammodytes",-4.9245,52.339,3
"7",2012,"NIGFS",1,"GB-NIR","74RY","ROT","116","Ammodytes",-4.2668,52.3086,12
"8",2012,"NIGFS",1,"GB-NIR","74RY","ROT","117","Ammodytes",-4.4871,52.7225,3
"9",2012,"NIGFS",1,"GB-NIR","74RY","ROT","119","Ammodytes",-6.1021,52.6093,10.9090909090909
"10",2012,"NIGFS",1,"GB-NIR","74RY","ROT","56","Ammodytes",-5.6413,53.5135,1
"11",2012,"NIGFS",4,"GB-NIR","74RY","ROT","116","Ammodytes",-4.275,52.3045,6
"12",2012,"NIGFS",4,"GB-NIR","74RY","ROT","94","Ammodytes",-5.7656,53.384,3
"13",2013,"NIGFS",1,"GB-NIR","74RY","ROT","103","Ammodytes",-5.4263,53.5528,4
"14",2013,"NIGFS",1,"GB-NIR","74RY","ROT","109","Ammodytes",-5.32,52.9891,3
"15",2013,"NIGFS",1,"GB-NIR","74RY","ROT","86","Ammodytes",-5.425,54.5766,1
"16",2013,"NIGFS",1,"GB-NIR","74RY","ROT","94","Ammodytes",-5.7633,53.3775,37
"17",2013,"NIGFS",1,"GB-NIR","74RY","ROT","96","Ammodytes",-5.135,53.8263,1
"18",2013,"NIGFS",4,"GB-NIR","74RY","ROT","108","Ammodytes",-5.2273,53.2155,3
"19",2014,"NIGFS",1,"GB-NIR","74RY","ROT","106","Ammodytes",-5.86,53.1895,15
"20",2014,"NIGFS",1,"GB-NIR","74RY","ROT","107","Ammodytes",-5.5518,53.247,117
"21",2014,"NIGFS",1,"GB-NIR","74RY","ROT","108","Ammodytes",-5.2245,53.222,3
"22",2014,"NIGFS",1,"GB-NIR","74RY","ROT","111","Ammodytes",-5.822,52.7063,12
"23",2014,"NIGFS",1,"GB-NIR","74RY","ROT","118","Ammodytes",-6.0025,53.2241,120
"24",2014,"NIGFS",1,"GB-NIR","74RY","ROT","120","Ammodytes",-5.7656,52.8593,5
"25",2014,"NIGFS",1,"GB-NIR","74RY","ROT","35","Ammodytes",-5.6165,54.731,1
"26",2014,"NIGFS",1,"GB-NIR","74RY","ROT","50","Ammodytes",-5.3245,53.7831,3
