"","Year","Survey","Quarter","Country","Ship","Gear","StNo","SpecLatin","ShootLong","ShootLat","CPUE_number_per_hour"
"1",2013,"IE-IGFS",4,"IE","45CE","GOV","FG25","Hyperoplus lanceolatus",-6.212,52.016,2
"2",2016,"NIGFS",1,"GB-NIR","74RY","ROT","120","Hyperoplus lanceolatus",-5.7662,52.8562,6.66666666666667
"3",2016,"NIGFS",1,"GB-NIR","74RY","ROT","242","Hyperoplus lanceolatus",-4.0509,54.0736,1.81818181818182
"4",2016,"NIGFS",1,"GB-NIR","74RY","ROT","247","Hyperoplus lanceolatus",-3.6377,53.6098,2
"5",2016,"NIGFS",1,"GB-NIR","74RY","ROT","249","Hyperoplus lanceolatus",-3.7721,53.8083,8
"6",2016,"NIGFS",1,"GB-NIR","74RY","ROT","342","Hyperoplus lanceolatus",-3.8394,53.9639,13
"7",2016,"NIGFS",1,"GB-NIR","74RY","ROT","86","Hyperoplus lanceolatus",-5.4275,54.5801,1
"8",2016,"NIGFS",4,"GB-NIR","74RY","ROT","122","Hyperoplus lanceolatus",-4.647,53.1361,3.33333333333333
"9",2016,"NIGFS",4,"GB-NIR","74RY","ROT","247","Hyperoplus lanceolatus",-3.6201,53.6306,3.33333333333333
"10",2016,"NIGFS",4,"GB-NIR","74RY","ROT","249","Hyperoplus lanceolatus",-3.7354,53.7891,10
"11",2016,"NIGFS",4,"GB-NIR","74RY","ROT","342","Hyperoplus lanceolatus",-3.844,53.9465,3.33333333333333
"12",2017,"NIGFS",1,"GB-NIR","74RY","ROT","120","Hyperoplus lanceolatus",-5.7648,52.8608,3
"13",2017,"NIGFS",1,"GB-NIR","74RY","ROT","246","Hyperoplus lanceolatus",-3.7346,53.4843,0.983606557377049
"14",2017,"NIGFS",1,"GB-NIR","74RY","ROT","247","Hyperoplus lanceolatus",-3.5991,53.6447,4
"15",2017,"NIGFS",1,"GB-NIR","74RY","ROT","249","Hyperoplus lanceolatus",-3.7516,53.7974,9
"16",2017,"NIGFS",1,"GB-NIR","74RY","ROT","342","Hyperoplus lanceolatus",-3.8489,53.9462,2
"17",2017,"NIGFS",4,"GB-NIR","74RY","ROT","247","Hyperoplus lanceolatus",-3.6239,53.6229,9
"18",2017,"NIGFS",4,"GB-NIR","74RY","ROT","249","Hyperoplus lanceolatus",-3.7379,53.7929,45
"19",2017,"NIGFS",4,"GB-NIR","74RY","ROT","342","Hyperoplus lanceolatus",-3.8395,53.9232,15
"20",2018,"NIGFS",1,"GB-NIR","74RY","ROT","242","Hyperoplus lanceolatus",-4.0427,54.1188,21
"21",2018,"NIGFS",1,"GB-NIR","74RY","ROT","247","Hyperoplus lanceolatus",-3.5987,53.6456,26
"22",2018,"NIGFS",1,"GB-NIR","74RY","ROT","249","Hyperoplus lanceolatus",-3.7086,53.7795,3.33333333333333
