"","Year","Survey","Quarter","Country","Ship","Gear","StNo","SpecLatin","ShootLong","ShootLat","CPUE_number_per_hour"
"1",2012,"IE-IGFS",4,"IE","45CE","GOV","FG25","Scophthalmus maximus",-6.261,52.005,2
"2",2012,"NIGFS",1,"GB-NIR","74RY","ROT","103","Scophthalmus maximus",-5.3976,53.5931,1
"3",2012,"NIGFS",1,"GB-NIR","74RY","ROT","83","Scophthalmus maximus",-5.282,54.3368,1
"4",2012,"NIGFS",4,"GB-NIR","74RY","ROT","77","Scophthalmus maximus",-4.704,53.829,3
"5",2013,"NIGFS",1,"GB-NIR","74RY","ROT","103","Scophthalmus maximus",-5.4263,53.5528,1
"6",2013,"NIGFS",1,"GB-NIR","74RY","ROT","105","Scophthalmus maximus",-5.111,53.6761,1
"7",2013,"NIGFS",4,"GB-NIR","74RY","ROT","345","Scophthalmus maximus",-3.5916,54.158,3
"8",2014,"NIGFS",1,"GB-NIR","74RY","ROT","103","Scophthalmus maximus",-5.4246,53.5603,1
"9",2014,"NIGFS",1,"GB-NIR","74RY","ROT","73","Scophthalmus maximus",-6.0423,53.8133,1
"10",2014,"NIGFS",4,"GB-NIR","74RY","ROT","105","Scophthalmus maximus",-5.095,53.6831,3
"11",2014,"NIGFS",4,"GB-NIR","74RY","ROT","115","Scophthalmus maximus",-4.9288,52.3346,3
"12",2014,"NIGFS",4,"GB-NIR","74RY","ROT","93","Scophthalmus maximus",-5.818,53.4908,3
"13",2015,"NIGFS",4,"GB-NIR","74RY","ROT","259","Scophthalmus maximus",-3.6991,54.2721,3.33333333333333
"14",2015,"NIGFS",4,"GB-NIR","74RY","ROT","345","Scophthalmus maximus",-3.5888,54.1566,3.33333333333333
"15",2016,"NIGFS",1,"GB-NIR","74RY","ROT","46","Scophthalmus maximus",-4.9413,54.2175,1
"16",2016,"NIGFS",4,"GB-NIR","74RY","ROT","103","Scophthalmus maximus",-5.4036,53.5867,3.33333333333333
"17",2016,"NIGFS",4,"GB-NIR","74RY","ROT","256","Scophthalmus maximus",-3.9308,54.634,3.33333333333333
"18",2016,"NIGFS",4,"GB-NIR","74RY","ROT","259","Scophthalmus maximus",-3.7226,54.2922,3.33333333333333
"19",2016,"NIGFS",4,"GB-NIR","74RY","ROT","77","Scophthalmus maximus",-4.703,53.8328,3.33333333333333
"20",2016,"NIGFS",4,"GB-NIR","74RY","ROT","81","Scophthalmus maximus",-5.3966,54.2178,3.33333333333333
"21",2016,"NIGFS",4,"GB-NIR","74RY","ROT","96","Scophthalmus maximus",-5.1082,53.8634,3.33333333333333
"22",2017,"NIGFS",1,"GB-NIR","74RY","ROT","105","Scophthalmus maximus",-5.0432,53.71,0.967741935483871
"23",2017,"NIGFS",1,"GB-NIR","74RY","ROT","56","Scophthalmus maximus",-5.6947,53.5038,3
"24",2017,"NIGFS",1,"GB-NIR","74RY","ROT","77","Scophthalmus maximus",-4.7326,53.8155,1
"25",2017,"NIGFS",4,"GB-NIR","74RY","ROT","102","Scophthalmus maximus",-4.6631,53.7606,3
"26",2017,"NIGFS",4,"GB-NIR","74RY","ROT","257","Scophthalmus maximus",-3.7593,54.4029,6
"27",2017,"NIGFS",4,"GB-NIR","74RY","ROT","259","Scophthalmus maximus",-3.7058,54.2803,3
"28",2017,"NIGFS",4,"GB-NIR","74RY","ROT","77","Scophthalmus maximus",-4.729,53.816,2.85714285714286
"29",2018,"NIGFS",4,"GB-NIR","74RY","ROT","259","Scophthalmus maximus",-3.702,54.2598,3.33333333333333
"30",2018,"NIGFS",4,"GB-NIR","74RY","ROT","96","Scophthalmus maximus",-5.1028,53.8723,3.33333333333333
"31",2019,"NIGFS",1,"GB-NIR","74RY","ROT","105","Scophthalmus maximus",-5.1,53.68,1
"32",2019,"NIGFS",1,"GB-NIR","74RY","ROT","77","Scophthalmus maximus",-4.7222,53.8213,1.2
"33",2019,"NIGFS",4,"GB-NIR","74RY","ROT","105","Scophthalmus maximus",-5.0606,53.7043,3
"34",2019,"NIGFS",4,"GB-NIR","74RY","ROT","259","Scophthalmus maximus",-3.7159,54.2873,3
"35",2020,"NIGFS",4,"GB-NIR","74RY","ROT","51","Scophthalmus maximus",-4.9911,53.8826,3
"36",2021,"NIGFS",4,"GB-NIR","74RY","ROT","17","Scophthalmus maximus",-5.5483,54.1034,3
"37",2021,"NIGFS",4,"GB-NIR","74RY","ROT","259","Scophthalmus maximus",-3.6928,54.2559,3
"38",2021,"NIGFS",4,"GB-NIR","74RY","ROT","81","Scophthalmus maximus",-5.3974,54.2108,3
"39",2021,"NIGFS",4,"GB-NIR","74RY","ROT","92","Scophthalmus maximus",-5.8998,53.583,3
"40",2021,"NIGFS",4,"GB-NIR","74RY","ROT","93","Scophthalmus maximus",-5.8272,53.5035,3
"41",2021,"NIGFS",4,"GB-NIR","74RY","ROT","96","Scophthalmus maximus",-5.1061,53.8671,3
