longitude,latitude,deltaT(C),deltaRHO(kg/m3)
-8.087500,50.962500,-0.001981,-0.001143
-8.087500,50.987500,-0.001714,-0.001057
-8.087500,51.012500,-0.001573,-0.001041
-8.087500,51.037500,-0.001900,-0.001117
-8.087500,51.062500,-0.002730,-0.001186
-8.087500,51.087500,-0.003126,-0.001139
-8.087500,51.112500,-0.002981,-0.001028
-8.087500,51.137500,-0.003074,-0.000981
-8.087500,51.162500,-0.003181,-0.000993
-8.087500,51.187500,-0.003245,-0.001010
-8.087500,51.212500,-0.003318,-0.001051
-8.087500,51.237500,-0.003416,-0.001106
-8.087500,51.262500,-0.003393,-0.001138
-8.087500,51.287500,-0.003282,-0.001136
-8.087500,51.312500,-0.003258,-0.001109
-8.087500,51.337500,-0.003439,-0.001080
-8.087500,51.362500,-0.008118,-0.000215
-8.087500,51.387500,-0.020170,0.002559
-8.087500,51.412500,-0.032560,0.006728
-8.087500,51.437500,-0.047856,0.012450
-8.087500,51.462500,-0.071867,0.017107
-8.087500,51.487500,-0.092779,0.019137
-8.087500,51.512500,-0.093912,0.023129
-8.087500,51.537500,-0.080395,0.018145
-8.087500,51.562500,-0.072965,0.015443
-8.087500,51.587500,-0.052283,0.012675
-8.087500,51.612500,-0.053732,0.016249
-8.087500,51.637500,-0.075952,0.021320
-8.087500,51.662500,-0.171796,0.035230
-8.087500,51.687500,-0.398525,0.095205
-8.087500,51.712500,-0.602545,0.215329
-8.087500,51.737500,-0.627798,0.324255
-8.087500,51.762500,-0.746959,0.546165
-8.087500,51.787500,-0.727523,0.955175
-8.087500,51.812500,-9999.000000,-9999.000000
-8.087500,51.837500,-9999.000000,-9999.000000
-8.087500,51.862500,-9999.000000,-9999.000000
-8.087500,51.887500,-9999.000000,-9999.000000
-8.087500,51.912500,-9999.000000,-9999.000000
-8.087500,51.937500,-9999.000000,-9999.000000
-8.087500,51.962500,-9999.000000,-9999.000000
-8.087500,51.987500,-9999.000000,-9999.000000
-8.087500,52.012500,-9999.000000,-9999.000000
-8.087500,52.037500,-9999.000000,-9999.000000
-8.087500,52.062500,-9999.000000,-9999.000000
-8.087500,52.087500,-9999.000000,-9999.000000
-8.087500,52.112500,-9999.000000,-9999.000000
-8.087500,52.137500,-9999.000000,-9999.000000
-8.087500,52.162500,-9999.000000,-9999.000000
-8.087500,52.187500,-9999.000000,-9999.000000
-8.087500,52.212500,-9999.000000,-9999.000000
-8.087500,52.237500,-9999.000000,-9999.000000
-8.087500,52.262500,-9999.000000,-9999.000000
-8.087500,52.287500,-9999.000000,-9999.000000
-8.087500,52.312500,-9999.000000,-9999.000000
-8.087500,52.337500,-9999.000000,-9999.000000
-8.087500,52.362500,-9999.000000,-9999.000000
-8.087500,52.387500,-9999.000000,-9999.000000
-8.087500,52.412500,-9999.000000,-9999.000000
-8.087500,52.437500,-9999.000000,-9999.000000
-8.087500,52.462500,-9999.000000,-9999.000000
-8.087500,52.487500,-9999.000000,-9999.000000
-8.087500,52.512500,-9999.000000,-9999.000000
-8.087500,52.537500,-9999.000000,-9999.000000
-8.087500,52.562500,-9999.000000,-9999.000000
-8.087500,52.587500,-9999.000000,-9999.000000
-8.087500,52.612500,-9999.000000,-9999.000000
-8.087500,52.637500,-9999.000000,-9999.000000
-8.087500,52.662500,-9999.000000,-9999.000000
-8.087500,52.687500,-9999.000000,-9999.000000
-8.087500,52.712500,-9999.000000,-9999.000000
-8.087500,52.737500,-9999.000000,-9999.000000
-8.087500,52.762500,-9999.000000,-9999.000000
-8.087500,52.787500,-9999.000000,-9999.000000
-8.087500,52.812500,-9999.000000,-9999.000000
-8.087500,52.837500,-9999.000000,-9999.000000
-8.087500,52.862500,-9999.000000,-9999.000000
-8.087500,52.887500,-9999.000000,-9999.000000
-8.087500,52.912500,-9999.000000,-9999.000000
-8.087500,52.937500,-9999.000000,-9999.000000
-8.087500,52.962500,-9999.000000,-9999.000000
-8.087500,52.987500,-9999.000000,-9999.000000
-8.087500,53.012500,-9999.000000,-9999.000000
-8.087500,53.037500,-9999.000000,-9999.000000
-8.087500,53.062500,-9999.000000,-9999.000000
-8.087500,53.087500,-9999.000000,-9999.000000
-8.087500,53.112500,-9999.000000,-9999.000000
-8.087500,53.137500,-9999.000000,-9999.000000
-8.087500,53.162500,-9999.000000,-9999.000000
-8.087500,53.187500,-9999.000000,-9999.000000
-8.087500,53.212500,-9999.000000,-9999.000000
