longitude,latitude,deltaT(C),deltaRHO(kg/m3)
-8.087500,50.962500,4.502455,1.169980
-8.087500,50.987500,4.499710,1.179740
-8.087500,51.012500,4.508419,1.192125
-8.087500,51.037500,4.514825,1.208042
-8.087500,51.062500,4.512132,1.226426
-8.087500,51.087500,4.504491,1.243763
-8.087500,51.112500,4.497389,1.254944
-8.087500,51.137500,4.501429,1.259827
-8.087500,51.162500,4.512117,1.259932
-8.087500,51.187500,4.520059,1.255492
-8.087500,51.212500,4.539553,1.250852
-8.087500,51.237500,4.573637,1.246549
-8.087500,51.262500,4.618474,1.243419
-8.087500,51.287500,4.673206,1.241529
-8.087500,51.312500,4.721698,1.238931
-8.087500,51.337500,4.742598,1.233762
-8.087500,51.362500,4.755487,1.231134
-8.087500,51.387500,4.758863,1.227305
-8.087500,51.412500,4.768245,1.221787
-8.087500,51.437500,4.788482,1.212381
-8.087500,51.462500,4.789676,1.195869
-8.087500,51.487500,4.770712,1.174923
-8.087500,51.512500,4.736989,1.150145
-8.087500,51.537500,4.677633,1.124577
-8.087500,51.562500,4.599360,1.089884
-8.087500,51.587500,4.537640,1.061104
-8.087500,51.612500,4.455648,1.029602
-8.087500,51.637500,4.352054,0.997008
-8.087500,51.662500,4.221513,0.962820
-8.087500,51.687500,3.948463,0.905520
-8.087500,51.712500,3.595449,0.873315
-8.087500,51.737500,3.284940,0.875320
-8.087500,51.762500,2.540389,0.735317
-8.087500,51.787500,2.171978,0.673798
-8.087500,51.812500,-9999.000000,-9999.000000
-8.087500,51.837500,-9999.000000,-9999.000000
-8.087500,51.862500,-9999.000000,-9999.000000
-8.087500,51.887500,-9999.000000,-9999.000000
-8.087500,51.912500,-9999.000000,-9999.000000
-8.087500,51.937500,-9999.000000,-9999.000000
-8.087500,51.962500,-9999.000000,-9999.000000
-8.087500,51.987500,-9999.000000,-9999.000000
-8.087500,52.012500,-9999.000000,-9999.000000
-8.087500,52.037500,-9999.000000,-9999.000000
-8.087500,52.062500,-9999.000000,-9999.000000
-8.087500,52.087500,-9999.000000,-9999.000000
-8.087500,52.112500,-9999.000000,-9999.000000
-8.087500,52.137500,-9999.000000,-9999.000000
-8.087500,52.162500,-9999.000000,-9999.000000
-8.087500,52.187500,-9999.000000,-9999.000000
-8.087500,52.212500,-9999.000000,-9999.000000
-8.087500,52.237500,-9999.000000,-9999.000000
-8.087500,52.262500,-9999.000000,-9999.000000
-8.087500,52.287500,-9999.000000,-9999.000000
-8.087500,52.312500,-9999.000000,-9999.000000
-8.087500,52.337500,-9999.000000,-9999.000000
-8.087500,52.362500,-9999.000000,-9999.000000
-8.087500,52.387500,-9999.000000,-9999.000000
