longitude,latitude,deltaT(C),deltaRHO(kg/m3)
-8.087500,50.962500,0.441416,0.345744
-8.087500,50.987500,0.453198,0.355953
-8.087500,51.012500,0.464858,0.367516
-8.087500,51.037500,0.480475,0.381367
-8.087500,51.062500,0.502280,0.394305
-8.087500,51.087500,0.523918,0.402895
-8.087500,51.112500,0.540944,0.406273
-8.087500,51.137500,0.546066,0.403000
-8.087500,51.162500,0.540615,0.392531
-8.087500,51.187500,0.532849,0.380318
-8.087500,51.212500,0.525716,0.374216
-8.087500,51.237500,0.525454,0.374566
-8.087500,51.262500,0.532733,0.376934
-8.087500,51.287500,0.544329,0.375259
-8.087500,51.312500,0.555811,0.370486
-8.087500,51.337500,0.556826,0.367823
-8.087500,51.362500,0.541847,0.372637
-8.087500,51.387500,0.528605,0.375601
-8.087500,51.412500,0.527676,0.369392
-8.087500,51.437500,0.542457,0.354650
-8.087500,51.462500,0.550401,0.346993
-8.087500,51.487500,0.543143,0.345168
-8.087500,51.512500,0.503981,0.338716
-8.087500,51.537500,0.456204,0.324651
-8.087500,51.562500,0.413165,0.300145
-8.087500,51.587500,0.359664,0.259140
-8.087500,51.612500,0.298160,0.232101
-8.087500,51.637500,0.258239,0.204273
-8.087500,51.662500,0.180574,0.175007
-8.087500,51.687500,0.077540,0.184207
-8.087500,51.712500,-0.074454,0.310124
-8.087500,51.737500,-0.245430,0.648407
-8.087500,51.762500,-0.315076,0.837420
-8.087500,51.787500,-0.440179,1.388635
-8.087500,51.812500,-9999.000000,-9999.000000
-8.087500,51.837500,-9999.000000,-9999.000000
-8.087500,51.862500,-9999.000000,-9999.000000
-8.087500,51.887500,-9999.000000,-9999.000000
-8.087500,51.912500,-9999.000000,-9999.000000
-8.087500,51.937500,-9999.000000,-9999.000000
-8.087500,51.962500,-9999.000000,-9999.000000
-8.087500,51.987500,-9999.000000,-9999.000000
-8.087500,52.012500,-9999.000000,-9999.000000
-8.087500,52.037500,-9999.000000,-9999.000000
-8.087500,52.062500,-9999.000000,-9999.000000
-8.087500,52.087500,-9999.000000,-9999.000000
-8.087500,52.112500,-9999.000000,-9999.000000
-8.087500,52.137500,-9999.000000,-9999.000000
-8.087500,52.162500,-9999.000000,-9999.000000
-8.087500,52.187500,-9999.000000,-9999.000000
-8.087500,52.212500,-9999.000000,-9999.000000
-8.087500,52.237500,-9999.000000,-9999.000000
-8.087500,52.262500,-9999.000000,-9999.000000
-8.087500,52.287500,-9999.000000,-9999.000000
-8.087500,52.312500,-9999.000000,-9999.000000
-8.087500,52.337500,-9999.000000,-9999.000000
-8.087500,52.362500,-9999.000000,-9999.000000
-8.087500,52.387500,-9999.000000,-9999.000000
-8.087500,52.412500,-9999.000000,-9999.000000
-8.087500,52.437500,-9999.000000,-9999.000000
-8.087500,52.462500,-9999.000000,-9999.000000
-8.087500,52.487500,-9999.000000,-9999.000000
-8.087500,52.512500,-9999.000000,-9999.000000
-8.087500,52.537500,-9999.000000,-9999.000000
-8.087500,52.562500,-9999.000000,-9999.000000
-8.087500,52.587500,-9999.000000,-9999.000000
-8.087500,52.612500,-9999.000000,-9999.000000
-8.087500,52.637500,-9999.000000,-9999.000000
-8.087500,52.662500,-9999.000000,-9999.000000
-8.087500,52.687500,-9999.000000,-9999.000000
-8.087500,52.712500,-9999.000000,-9999.000000
-8.087500,52.737500,-9999.000000,-9999.000000
-8.087500,52.762500,-9999.000000,-9999.000000
